id	icon_bg_type	range_key	np	sp
325203	5			
780100101	6	one	0	0
304900301	6	one	20	0
304900305	6	one	20	0
702500105	6	one	0	0
4402104	5			
1100070087	6	myself	0	0
501000104	6	one	0	0
325205	5			
910700101	6	one	0	0
329301	5			
4906305	5			
1100070084	6	myself	0	0
1100070083	6	myself	0	0
780100205	5	one_except_self	5	0
1100070082	6	myself	0	0
304900101	6	one	0	0
704101302	6	all	20	0
704100302	6	all	20	0
24301	6			
311803	5			
320705	5			
914300101	6	one	0	0
400300203	6	one_row	10	0
327903	5			
780101301	6	one	20	0
780100301	6	one	20	0
910100301	6	one	0	0
333401	5			
1100070078	6	myself	0	0
4102201	5			
4401205	5			
333402	5			
920600201	6	one	0	0
9016	5			
4601504	5			
333403	5			
9208	5			
931100101	6	one	0	0
600300204	6	one_col	10	0
333404	5			
304900201	6	one_row	10	0
304900205	6	one_row	10	0
401400105	6	one	0	0
333405	5			
1100070073	6	myself	0	0
942100104	6	one	0	0
1100030020	6			
1100070071	6			
300800305	6	one	20	0
337502	5			
325504	5			
4102202	5			
312404	5			
337503	5			
1100070059	6	myself	0	0
4800802	5			
704100102	6	one	0	0
21102	6			
1100070057	6	myself	0	0
301500303	6	one_col	20	0
1100070054	6	myself	0	0
337505	5			
801100301	6	all	0	100
304901301	6	one	20	0
304901305	6	one	20	0
1100070053	5			
1100070052				
703600103	6	one	0	0
941600201	6	two_row	0	0
942101304	6	all	20	0
942100304	6	all	20	0
1100070051				
1100070042	6			
4710103	5			
1100070041	6			
1100030022	6			
1100070032	5			
1100070031	5			
1100070030	5			
601900105	6	one	0	0
1100070022	5			
302300102	6	one	0	0
24302	6			
1100070021	5			
1100070020	5			
404000204	6	one_row	10	0
1100070012	5			
300200202	6	one	10	0
401901304	6	all	10	0
4601505	5			
4710104	5			
601900201	5	all	10	0
703601303	6	one	20	0
703600303	6	one	20	0
941600401	6	one	0	0
1100070010	5			
302702	5			
1100060052	5			
4710203	5			
1100060051	5			
801100101	6	one	0	0
302205	5			
601400202	6	one	10	0
601901305	6	all	20	0
703100304	6	one	20	0
4710101	5			
4710105	5			
302300202	6	one	5	0
302705	5			
404001304	6	all	20	0
300201302	6	one	20	0
404000304	6	all	20	0
300200302	6	one	20	0
4800401	5			
701000204	6	one_col	10	0
601901401	6	all	0	0
601900401	6	all	0	0
1100060041	5			
306803	5			
1100030010	6			
1100060032	5			
21103	6			
306804	5			
327902	5			
404000104	6	one	0	0
300200102	6	one	0	0
306805	5			
1100060030	5			
310901	5			
401900204	5	all	0	0
302301302	6	one	10	0
4710205	5			
603500102	6	one	0	0
704100202	6	one_row	10	0
702600205	6	myself	10	0
1100060020	5			
310903	5			
1100060012	5			
1100060011	5			
710200304	6	one_row	20	0
310904	5			
600100302	6	all	20	0
1100050051	5			
703100104	6	one	0	0
310905	5			
302201	5			
24303	6			
4710201	5			
1100050041	5			
1100050040	5			
315002	5			
1100050032	5			
1100050031	5			
8505	5			
702600105	6	one	0	0
1100050030	5			
603501302	6	one	20	0
603500302	6	one	20	0
315004	5			
1100050022	5			
1100050021	5			
9017	5			
315005	5			
201501301	6	one	20	0
201501303	6	one	20	0
700510101	6	one_row	0	0
1100050020	5			
603001303	6	one	20	0
603000303	6	one	20	0
201500303	6	one	20	0
201500305	6	one	20	0
1100050012	5			
319103	5			
1100050011	5			
501000203	6	one	10	0
401401305	6	one	20	0
401400301	6	one	20	0
401400305	6	one	20	0
600900203	6	all	10	0
702601305	6	all	20	0
702600305	6	all	20	0
201500201	6	one	10	0
201500203	6	one	10	0
201500205	6	one	10	0
1100050010	5			
1100040072	5			
323202	5			
501001305	6	all	20	0
1100040062	5			
700500205	6	one	0	0
700511301	6	all	20	0
700510301	6	all	20	0
983600601	6	one	0	0
4200203	5			
301800203	6	one	10	0
403501305	6	all	20	0
201500105	6	one	0	0
603010103	6	one	0	20
403500305	6	all	20	0
501000303	6	all	20	0
700501301	6	all	20	0
700500301	6	all	20	0
308205	5			
600900403	6	one_col	0	0
319111	5			
1100040052	5			
983600201	6	myself	10	0
603000103	6	one_row	0	0
327303	5			
1100040051	5			
403500101	6	one_row	0	0
403500105	6	one_row	0	0
501000103	6	one	0	0
1100040050	5			
700100205	5			
401400201	6	one	10	0
401400205	6	one	10	0
503101303	6	all	20	0
331401	5			
503100303	6	all	20	0
942201304	6	one	20	0
603011303	6	one	0	0
603010303	6	one	0	50
1100040040	5			
1100040041	5			
922800701	6			
331403	5			
321504	5			
780200205	6	all	5	0
1100030040	5			
331404	5			
983600401	6	all	0	0
704201302	6	one	20	0
704200302	6	one	20	0
913900502	6	myself	0	0
403500201	6	all	10	0
403500205	6	all	10	0
20703	6			
922800301	6	all	0	0
780201301	6	myself	20	0
780200301	6	myself	20	0
1100010072	6			
1100040030	5			
1100040022	5			
335503	5			
799980204	6	all	10	0
1100010152	6			
920700201	6	one	0	0
335504	5			
983620201	6	all	0	0
922800901	6			
1100010232	6			
335505	5			
931200101	6	one	0	0
1100020360	6			
1100040020	5			
22001	6			
102600304	6	one_row	20	0
102600305	6	one_row	20	0
983610201	5	myself	0	0
942200104	6	one	0	0
1100040012	5			
4602805	5			
922800501	6	all	0	100
983630401	6	one	0	0
1100040010	5			
1100030042	5			
1100030041	5			
1100030032	6			
1100030031	6			
941700601	6	one	0	0
1100030030	6			
1100070040	6			
1100070056	6	myself	0	0
1100070072	6			
1100070088	6	myself	0	0
1100070104	6			
1100060040	5			
319505	5			
4102402	5			
4401504	5			
502600204	6	all	10	0
102600202	5			
102600203	5			
102600204	5			
950100401	6	all	0	0
1100020372	6			
300702	5			
1100020371	6			
9018	5			
1100020370	6			
300703	5			
9210	5			
933520301	6	all	0	0
1100010080	6			
9402	5			
1100020352	6			
1100020351	6			
334601	5			
300705	5			
1100020342	6			
304801	5			
983630201	5	myself	0	0
1100020341	6			
502601304	6	one	20	0
304802	5			
502600304	6	one	20	0
102600101	6	one	0	0
102600102	6	one	0	0
102600103	6	one	0	0
102600104	6	one	0	0
102600105	6	one	0	0
102601303	6	one_row	20	0
102601304	6	one_row	20	0
102601305	6	one_row	20	0
1100020340	6			
310205	5			
304805	5			
601500202	6	all	10	0
502600104	6	one	0	0
102600303	6	one_row	20	0
1100020331	6			
1100020330	6			
308902	5			
950100201	6	one_row	0	0
941700201	6	one_row	0	0
312201	5			
308903	5			
321201	5			
701100204	5	one_except_self	5	0
1100020312	6			
308904	5			
1100020311	6			
1100020310	6			
1100020302	6			
308905	5			
1100020301	6			
313001	5			
1100020300	6			
1100020292	6			
1100020291	6			
313002	5			
1100020290	6			
904000401	6	one_row	0	0
1100020282	6			
25202	6			
1100020281	6			
906100101	6	all	0	0
1100020280	6			
313004	5			
1100020272	6			
1100020271	6			
1100020270	6			
901900301	2	all	0	0
1100020262	6			
317101	5			
1100020261	6			
1100020260	6			
603100103	6	one	0	0
906100701	6	one	0	0
1100020252	6			
1100020251	6			
1100020250	6			
400400103	6	one	0	0
1100020242	6			
1100020241	6			
300800201	6	one	10	0
300800205	6	one	10	0
1100020240	6			
904000601	5			
1100020232				
317105	5			
1100020231				
906100301	6	all	0	100
1100020230				
1100020222				
1100020221				
321202	5			
1100020220				
1100020212				
1100020211				
321203	5			
904000201	6	one_col	0	0
603101303	6	all	20	0
603100303	6	all	20	0
321204	5			
1100020210				
1100020202				
1100020201				
400400203	6	one_row	10	0
300801301	6	one	20	0
300801305	6	one	20	0
300800301	6	one	20	0
702200202	6	myself	10	0
305000405	6	one	0	0
325302	5			
1100020200				
1100020192				
920800201	6	one	0	0
325303	5			
1100020191				
1100020190				
1100020182				
700100102	6	one	0	0
600500204	6	one_row	10	0
300800101	6	one	0	0
300800105	6	one	0	0
305000201	5	all	10	0
305000205	5	all	10	0
603100503	6	one	0	0
8571	5			
942300104	6	one	0	0
400401303	6	all	20	0
329402	5			
400400303	6	all	20	0
700100702	1	summon_area	0	20
1100020181				
922910101	6	one_row	0	0
1100020180				
305000501	6	one	0	0
305000505	6	one	0	0
329404	5			
1100020172				
704300102	6	one	0	0
1100020171				
329405	5			
1100020170				
700101302	6	all	20	0
700100302	6	all	20	0
1100020162	5			
305001301	6	one	20	0
305001305	6	one	20	0
305000301	6	myself	20	0
305000305	6	myself	20	0
1100020161	5			
333503	5			
942301304	6	myself	20	0
942300304	6	myself	20	0
1100020160	5			
907700402	6	one	0	0
1100020152				
1100020151				
90030201	6	tian	15	0
922910301	6	one	0	0
1100020150				
602100105	6	one	0	0
305000105	6	one	0	0
704301302	6	myself	20	0
704300302	6	myself	20	0
90030901	6	one_col	0	40
1100020142				
1100020141				
1100020140				
922900301	6	one_col	0	0
90030401	4	one_row	15	0
1100020132				
90031601	6	one	20	0
602100201	6	all	10	0
803400201	6	all	0	0
90030911	6	one_row	0	40
941800401	6	one	0	0
337605	5			
1100020131				
1100020130				
1100020122				
90030601	6	shizi	15	0
1100020121				
801300101	6	one	0	0
922910501	6	one	0	0
90030101	6	one	10	0
710100403	1	summon_area	0	100
602100305	6	one	20	0
90031301	6	one_except_self	10	0
1100020120				
1100020112				
950200201	6	myself	0	0
90030801	6	summon_area	0	
1100020111				
1100020110				
90032001	6	one_except_self	10	0
90030301	4	one_col	15	0
1100020102				
1100020101				
803400401	6	one	0	100
1100020100				
1100020092				
1100020091				
90031001	6	one	0	
1100020090				
941810201	6			
302704	5			
90030501	4	all	15	0
801300301	6	all	0	100
304500202	2	one	5	0
90031701	6	one	10	0
1100020081				
402000204	6	one	10	0
1100020080				
90031201	6	one	10	0
941800201	6			
302803	5			
950200401	6	all	0	100
90030701	5	all	10	0
1100020072				
302804	5			
90031901	6	one_except_self	10	0
1100020071				
704500204	6	one_row	10	0
302805	5			
710100203	6	one	10	0
703300104	6	one_row	0	0
201501304	6	one	20	0
1100020061				
1100020060				
941810401	6	one	0	0
1100020052	6			
1100020051	6			
304501302	6	one	20	0
306903	5			
402001304	6	all	20	0
1100020050	6			
932900602	6	one	0	0
306904	5			
1100020042	6			
940310201	6	one	0	0
1100020040	6			
950200601	6	one	0	0
1100020032	6			
311001	5			
1100020031	6			
1100020030	6			
1100020022	6			
304500102	6	one	0	0
601600202	6	all	10	0
703301304	6	one	20	0
703300304	6	one	20	0
311003	5			
8508	5			
8572	5			
1100020021	6			
311004	5			
1000030170	6			
902000101	5	all	0	0
601400103	6	one	0	0
601100203	5	myself	0	0
702801305	6	all	20	0
702800305	6	all	20	0
1100020012	6			
1100020011	6			
1100020010	6			
315102	5			
1100010392				
1000020170	6			
1100010390				
315103	5			
984100401	6	all	0	0
401500101	6	one	0	0
401500105	6	one	0	0
315104	5			
1100010381				
503200203	6	one	10	0
1100010380				
315105	5			
906200101	6	one	0	0
319201	5			
1100010372				
1100010371				
700701301	6	shizi1	20	0
700700301	6	shizi1	20	0
401500405	6	one	0	0
303504	5			
4802202	5			
319203	5			
912500201	6	one_col	0	0
603200103	6	one	0	0
1100010162	6			
319204	5			
1100010360				
1100010352	6			
1100010351	6			
304000203	6	one_col	10	0
335002	5			
401500201	6	one_col	10	0
401500205	6	one_col	10	0
503201303	6	all	20	0
702800105	6	one	0	0
503200303	6	all	20	0
780200105	6	one	0	0
603211303	6	one	20	100
603210303	6	one	20	0
323303	5			
600100202	6	one_row	10	0
1100010340	6			
4402305	5			
323304	5			
1000040170	6			
1100010331	6			
702800201	6	tian	10	0
603201303	6	all	20	100
603200303	6	all	20	0
327401	5			
1100010330	6			
303602	5			
1100010321	6			
304001303	6	all	20	0
401501301	6	one	10	0
401501305	6	one	10	0
401500301	6	one	10	0
401500305	6	one	10	0
1100010320	6			
1100010312	6			
200200305	5	all	20	0
327404	5			
1100010302	6			
920900201	6	one	0	0
4200902	5			
907800602	6	one	0	0
1100010300	6			
331501	5			
304000103	6	one	0	0
600600204	6	one_col	10	0
1100010292	6			
331502	5			
1000060050	6			
1100010291	6			
1100010290	6			
331503	5			
603210103	6	one	0	0
1100010282	6			
1100010171	6			
331504	5			
1100010280	6			
1100010272	6			
1100010271	6			
331505	5			
933500401	6	one	0	0
335601	5			
1100010270	6			
704400102	6	one	0	0
1100010262	6			
335602	5			
911400101	6	all	0	0
600101301	6	all	20	0
600100301	6	all	20	0
335603	5			
1100010260	6			
1100010252	6			
22903	6			
335604	5			
4603203	5			
500601304	2	all	10	0
4802301	5			
500600304	2	all	10	0
1100010242	6			
102100101	6	one	0	0
102100102	6	one	0	0
102100103	6	one	0	0
102100104	6	one	0	0
102100105	6	one	0	0
102101304	2	all	10	0
710200203	6	one	10	0
1000080010	5			
1100010241	6			
403100102	6	one	0	0
933510201	6	one	0	0
102100301	2	all	10	0
500600104	6	one	0	0
102100303	2	all	10	0
102100304	2	all	10	0
102100305	2	all	10	0
1100010240	6			
1100010230	6			
1100010222	6			
803500201	6	all	0	0
933500201	6	all	0	0
4102405	5			
941900401	5			
4401902	5			
1100010212	6			
1100010211	6			
1100010210	6			
1100010202	6			
801400101	6	one	0	0
300801	5			
1100010201	6			
1100010200	6			
321205	5			
300802	5			
328405	5			
403100202	5	myself	0	0
1100010190	6			
500600204	6	one	5	0
102100202	5	one	10	0
102100203	5	one	10	0
102100204	5	one	10	0
701300204	2	one_row	10	0
1100010182	6			
1100010181	6			
1100010180	6			
300805	5			
1100010172	6			
304901	5			
1100010281	6			
1100010170	6			
941910201	6	one_row	10	0
304902	5			
950310401	6	one_col	0	0
1100010361				
1100010161	6			
304903	5			
1100010160	6			
4942003	5			
403101302	6	one	20	0
304904	5			
403100302	6	one	20	0
704500101	6	one	0	0
1100010142	6			
933520201	6	all	0	0
4102603	5			
309001	5			
4401904	5			
703300101	6	one_row	0	0
1030310	6	one	0	0
309002	5			
1100010130	6			
703400104	6	one	0	0
1100010122	6			
309003	5			
4942004	5			
1100010090	6			
1100010120	6			
950310601	1		0	0
1100010112	6			
1100010111	6			
1100010110	6			
309005	5			
702900105	6	one	0	0
313101	5			
500100301	6	one	20	0
500100305	6	one	20	0
603500104	6	one	0	0
313102	5			
1100010101	6			
4942001	5			
950310201	6	one	0	0
313103	5			
1100020041	6			
4402001	5			
702900201	6	one_row	10	0
603301303	6	one	20	0
603300303	6	one	20	0
1100010041	6			
500100101	6	one	0	0
500100105	6	one	0	0
1100010091	6			
400500203	6	one	10	0
1100010121	6			
20601	6			
902100101	5	all	0	0
910500301	6	one_row	0	0
503200305	6	all	20	0
702901305	6	all	20	0
702900305	6	all	20	0
317203	5			
500100401	6	one_except_self	0	100
1100010081	6			
1100020361	6			
317204	5			
4942101	5			
4942105	5			
1100010070	6			
317205	5			
1100010062	6			
321301	5			
1100010061	6			
1100010060	6			
1100010052	6			
500100201	6	one	10	0
500100205	6	one	10	0
400501303	6	one	20	0
500111305	6	one	20	0
400500303	6	one	20	0
500110305	6	all	0	50
902100301	5	all	0	0
4942102	5			
321304	5			
4942303	5			
1100070089	6	myself	0	0
1100070105	6			
603300103	6	one	0	0
1100010042	6			
325401	5			
1100010040	6			
700301302	6	all	20	0
400500103	6	one	0	0
700300302	6	all	20	0
500110105	6	one_col	0	20
321401	5			
910500101	6	one	0	0
325403	5			
602800104	6	one	0	0
500101305	6	one	20	0
1100010031	6			
325404	5			
1100010030	6			
301801302	6	one	20	0
1100010021	6			
500110401	6	all	0	30
500110405	6	all	0	30
329501	5			
1100010020	6			
1100010012	6			
1100010011	6			
329502	5			
704501302	6	all	20	0
704500302	6	all	20	0
1100010010	6			
329503	5			
4942301	5			
4942305	5			
500110201	6	all	0	30
500110205	6	all	0	30
1000070130	5			
1000070120	5			
702400202	6	all	10	0
602801304	6	one_row	20	0
602800304	6	one_row	20	0
333601	5			
4300204	5			
1000070050	5			
914200102	6	one	0	0
750101303	6	one	20	0
750100303	6	one	20	0
700300102	6	one	0	0
4942302	5			
600700204	5			
1000060120	6			
1000060110	6			
1000060080	6			
333604	5			
314505	5			
315501	5			
1000050100	6			
333605	5			
1000050090	6			
337701	5			
23802	6			
600200205	6	tian	10	0
1000050170	6			
337702	5			
1000050080	6			
1000050060	6			
4300102	5			
942000105	6	one	0	0
1000040200	5			
914200302	6	all	0	100
1000040180	6			
337704	5			
600201301	6	all	20	0
600200301	6	all	20	0
4301001	5			
337705	5			
402100204	6	tian	10	0
1000030200	5			
1000030180	6			
704000103	6	one	0	0
942000201	6	one_row	10	0
950400401	6	all	0	0
321804	5			
1000020180	6			
1000020150	6			
4301805	5			
600200405	6	all	20	0
1000020090	6			
1000020080	6			
22902	6			
4301801	5			
1000010170	6			
942001305	6	all	20	0
302500102	5	one_col	0	0
1000010160	6			
1000010150	6			
315402	5			
1000010130	6			
300400202	6	one_col	5	0
20603	6			
402101304	6	one	20	0
1000010070	6			
803600201	6	one	0	0
704001303	6	all	20	0
704000303	6	all	20	0
302500402	6	one	0	0
302901	5			
950400601	1		0	0
913100101	6	one	0	0
4942304	5			
302902	5			
4942205	5			
4942204	5			
4942203	5			
703501304	6	one	20	0
402100104	6	one	0	0
703500304	6	one	20	0
4942202	5			
302500202	6	all	10	0
4942201	5			
950400201	6	one_row	0	0
300401302	6	all	10	0
302905	5			
300400302	6	all	10	0
23803	6			
4942104	5			
4942103	5			
4942005	5			
307002	5			
4942002	5			
4922912	5			
4922911	5			
950400801	6	one_row	0	0
400601303	6	one	20	0
4922901	5			
8511	5			
8575	5			
4913901	5			
4907901	5			
4906303	5			
307005	5			
302501302	6	all	20	0
311101	5			
9023	5			
4906302	5			
4906301	5			
311102	5			
700901301	6	one	20	0
700900301	6	one	20	0
4906205	5			
311103	5			
4906203	5			
4906202	5			
4906201	5			
703500104	6	one	0	0
4906108	5			
4906107	5			
4906104	5			
900100201	6	one_row	0	0
4906103	5			
315201	5			
4906101	5			
503101301	6	all	20	0
910600101	6	one_col	0	0
315202	5			
4901902	5			
703000105	6	one	0	0
799980104	6	one	0	0
315203	5			
4901901	5			
907000201	4	one	0	0
907700301	6	all	0	100
315204	5			
4901803	6			
4901802	6			
910600701	6	all	0	0
315205	5			
802300302	6	all	0	0
703000201	6	one_row	10	0
302000103	6	one	0	0
4901703	6			
799991304	6	one	20	0
799990304	6	one	20	0
400601302	6	one	20	0
4901701	6			
4901605	5			
319303	5			
700900101	6	one	0	0
910000201	6	one	0	0
910600301	6	all	0	0
703001305	6	all	20	0
799981304	6	all	20	0
799980304	6	all	20	0
704200104	6	one	0	0
319305	5			
5500004	6	one	0	0
750201303	6	one	20	0
750200303	6	one	20	0
909800201	6	all	0	0
4901505	5			
700900205	6	one_col	10	0
910600901	6	myself	0	0
700510203	6	one	0	0
5500103	6	one	0	0
984000601	1		0	0
302000203	6	one	10	0
984010201	6	one_row	0	0
906400101	6	one	0	0
323404	5			
4901502	5			
5500001	6	myself	0	0
5500005	6	one	0	0
323405	5			
201200301	6	all	20	0
910600501	6	one	0	100
4901403	5			
501800205	6	one	10	0
984000201	6	one_row	0	0
912700201	6	one_row	0	0
984010801	1	myself	0	0
799990104	6	one	0	0
984020401	6	all	0	0
327503	5			
5500116	6	myself	0	0
4901305	5			
402200302	6	all	20	0
327504	5			
5500006	6	myself	0	0
302001303	6	all	20	0
984000801	1		0	0
302000303	6	all	20	0
702500205	6	all	10	0
984010401	6	all	0	0
4901301	5			
21501	6			
5500101	6	one	0	0
750200103	6	one	0	0
5500109	6	myself	0	0
780100102	6	one	0	0
5500117	6	myself	0	0
331603	5			
4901203	5			
702600103	6	one	0	0
4901201	5			
331604	5			
911000301	6	all	0	0
906300101	6	one	0	0
984020601	1	myself	0	0
331605	5			
4901103	5			
335701	5			
5500102	6	one	0	0
5500106	6	myself	0	0
702500202	6	all	10	0
704101303	6	all	20	0
