id	dirll	name	nameEng	quality	m_Desc	desc	role_id	role_tag	add_role_id	summon	fit_result	unite	uniteLabel	subTfSkills	skills	jcSkills	tfSkills	tcSkills	card_type	break_id	breakModels	skin	skinMinBreakLv	itemId	coreItemId	key	model	career	main_type	attack	defense	maxhp	speed	crit	crit_rate	resist	hit	np	sp_race	sp_race2	sp	overLoad	hot	nMoveType	nClass	nStep	sMech	equip_suits	fight_cost	grids	gridsIcon	halo	get_from_gm	isActionLog	isUseCommon	base_card	changeCardIds	notBuyAllTcSkills	notBuyChangeCardIds	enum	pos_enum
10100	10100	レーニア	???	3	レーニアという名の幻像	レーニアという名の戦士	10100	10100						10100	101000101;101000201;101000301;101001301;4101001	101000101;101000201;101000301;101001301	4101001		1	11201	1010001;1010002;1010002;1010002		"{""1010001"": 1, ""1010002"": 2}"	41010	101010	10100	1010001	1	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10110	10110	グラナイト	GRANITE	3	グラナイトという名の幻像	グラナイトという名の戦士	10110	10110						10110	101100101;101100201;101100301;101101301;4101101	101100101;101100201;101100301;101101301	4101101		1	11301	1011001;1011002;1011002;1011002	1011003	"{""1011001"": 1, ""1011002"": 2}"	41011	101011	10110	1011001	1	1	138	109	1472	107	1.5	0.02	0	0	0	5	10	30	1	100	2	1	0	1	213;230;225	0	7	effective_range_10110	10110	True	True	False	True	{}	{}	{}		1;6
10120	10120	ジェイダイト	JADEITE	4	ジェイダイトという名の幻像	ジェイダイトという名の戦士	10120	10120						10120	101200101;101200201;101200301;101201301;4101201	101200101;101200201;101200301;101201301	4101201		1	11441	1012001;1012002;1012002;1012002		"{""1012001"": 1, ""1012002"": 2}"	41012	101012	10120	1012001	1	1	148	106	1459	109	1.5	0.02	0	0	0	5	10	30	1	100	2	1	0	1	225;219;220	0		effective_range_10120	10120	True	True	False	True	{}	{}	{}		7;8
10130	10130	バイカル	???	3	バイカルという名の幻像	バイカルという名の戦士	10130	10130						10130	101300101;101300201;101300301;101301301;4101301	101300101;101300201;101300301;101301301	4101301		1	11101	1013001;1013002;1013002;1013002		"{""1013001"": 1, ""1013002"": 2}"	41013	101013	10130	1013001	1	1	201	97	1273	110	1.5	0.5	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10140	10140	マイカ	MICA	3	マイカという名の幻像	マイカという名の戦士	10140	10140						10140	101400101;101400201;101400301;101401301;4101401	101400101;101400201;101400301;101401301	4101401		1	11201			{}	41014	101014	10140	1014001	1	1	201	97	1273	110	1.5	0.5	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10150	10150	アンフィボール	???	3	アンフィボールという名の幻像	アンフィボールという名の戦士	10150	10150						10150	101500101;101500201;101500301;101501301;4101501	101500101;101500201;101500301;101501301	4101501		1	11301			{}	41015	101015	10150	1015001	1	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10160	10160	アイガー	EIGER	3	アイガーという名の幻像	アイガーという名の戦士	10160	10160						10160	101600101;101600201;101600301;101601301;4101601	101600101;101600201;101600301;101601301	4101601		1	11401			{}	41016	101016	10160	1016001	1	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		7
10170	10170	オブシディアン	???	4	オブシディアンという名の幻像	オブシディアンという名の戦士	10170	10170						10170	101700101;101700201;101700301;101701301;4101701	101700101;101700201;101700301;101701301	4101701		1	11141	1017001;1017002;1017002;1017002		"{""1017001"": 1, ""1017002"": 2}"	41017	101017	10170	1017001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10180	10180	カンティセ	KAILAS	4	カンティセという名の幻像	カンティセという名の戦士	10180	10180						10180	101800101;101800201;101800301;101801301;4101801	101800101;101800201;101800301;101801301	4101801		1	11241	1018001;1018002;1018002;1018002		"{""1018001"": 1, ""1018002"": 2}"	41018	101018	10180	1018001	1	1	141	100	1540	111	1.5	0.02	0	0	0	5	10	30	1	100	2	1	0	1	230;225;220	0		effective_range_10180	10180	True	True	False	True	{}	{}	{}	8	8;2
10190	10190	イジェン	IJEN	4	イジェンという名の幻像	イジェンという名の戦士	10190	10190						10190	101900101;101900201;101900301;101901301;4101901	101900101;101900201;101900301;101901301	4101901		1	11341	1019001;1019002;1019002;1019002		"{""1019001"": 1, ""1019002"": 2}"	41019	101019	10190	1019001	1	1	137	111	1554	106	1.5	0.02	0	0	0	5	10	30	1	100	2	1	0	1	230;225;220	0	7	effective_range_10190	10190	True	True	False	True	{}	{}	{}	8	8;7
10200	10200	クリューヤ	KLYUCHEVSKAYA	4	クリューヤという名の幻像	クリューヤという名の戦士	10200	10200						10200	102000101;102000201;102000301;102001301;4102001	102000101;102000201;102000301;102001301	4102001		1	11441	1020001;1020002;1020002;1020002		"{""1020001"": 1, ""1020002"": 2}"	41020	101020	10200	1020001	1	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10210	10210	シトリン	CITRINE	4	シトリンという名の幻像	シトリンという名の戦士	10210	10210						10210	102100101;102100201;102100301;102101301;4102101	102100101;102100201;102100301;102101301	4102101		1	11141	1021001;1021002;1021002;1021002		"{""1021001"": 1, ""1021002"": 2}"	41021	101021	10210	1021001	1	1	157	91	1419	106	1.5	0.05	0	0	0	5	10	30	1	100	2	1	0	1	202;217;220	0	7	effective_range_10210	10210	True	True	False	True	{}	{}	{}		2;6
10220	10220	ガーネット	GARNET	6	ガーネットという名の幻像	ガーネットという名の戦士	10220	10220						10220	102200101;102200201;102200301;102201301;4102201	102200101;102200201;102200301;102201301	4102201		1	11261	1022001;1022002;1022002;1022002	1022003;1022004	"{""1022001"": 1, ""1022002"": 2}"	41022	101022	10220	1022001	1	1	174	100	1534	112	1.5	0.06	0.1	0	0	5	10	30	1	100	2	1	0	1	215;216;201	0		effective_range_10220	10220	True	True	False	True	{}	{}	{}		7;2
10230	10230	モナ	LE MORNE	5	モナという名の幻像	モナという名の戦士	10230	10230						10230	102300101;102300201;102300301;102301301;4102301	102300101;102300201;102300301;102301301	4102301		1	11351	1023001;1023002;1023002;1023002		"{""1023001"": 1, ""1023002"": 2}"	41023	101023	10230	1023001	2	1	169	89	1428	112	1.5	0.05	0	0	0	5	10	30	1	100	2	1	0	1	224;220;203	0		effective_range_10230	10230	False	True	False	True	{}	{}	{}	8	1;3
10240	10240	パイロキシン	PYROXENE	5	パイロキシンという名の幻像	パイロキシンという名の戦士	10240	10240						10240	102400101;102400201;102400301;102401301;4102401	102400101;102400201;102400301;102401301	4102401		1	11451	1024001;1024002;1024002;1024002	1024003	"{""1024001"": 1, ""1024002"": 2}"	41024	101024	10240	1024001	2	1	137	102	1582	110	1.5	0.02	0	0	0	5	10	30	1	100	2	1	0	1	213;220;230	0		effective_range_10240	10240	True	True	False	True	{}	{}	{}	8	1;5
10250	10250	スファレライト	SPHALERITE	4	スファレライトという名の幻像	スファレライトという名の戦士	10250	10250						10250	102500101;102500201;102500301;102501301;4102501	102500101;102500201;102500301;102501301	4102501		1	11141			{}	41025	101025	10250	1025001	1	1	201	97	1273	110	1.5	0.05	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10260	10260	セキズイ	RUBY	6	セキズイという名の幻像	セキズイという名の戦士	10260	10260						10260	102600101;102600201;102600301;102601301;4102601	102600101;102600201;102600301;102601301	4102601		1	11261	1026001;1026002;1026002;1026002	1026003	"{""1026001"": 1, ""1026002"": 2}"	41026	101026	10260	1026001	1	1	160	106	1494	108	1.5	0.08	0.1	0	0	5	10	30	1	100	2	1	0	1	223;217;212	0		effective_range_10260	10260	True	True	False	True	{}	{}	{}		2;6
10270	10270	グレーズ	GLAZE	3	グレーズという名の幻像	グレーズという名の戦士	10270	10270						10270	102700101;102700201;102700301;102701301;4102701	102700101;102700201;102700301;102701301	4102701		1	11301			{}	41027	101027	10270	1027001	1	1	201	97	1273	110	1.5	0.05	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10280	10280	アンバー	AMBER	3	アンバーという名の幻像	アンバーという名の戦士	10280	10280						10280	102800101;102800201;102800301;102801301;4102801	102800101;102800201;102800301;102801301	4102801		1	11401			{}	41028	101028	10280	1028001	1	1	201	97	1273	110	1.5	0.05	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20010	20010	コンダクター	CONDUCTOR	6	コンダクターという名の幻像	コンダクターという名の戦士	20010	20010						20010	200100101;200100201;200100301;200101301;4200101	200100101;200100201;200100301;200101301	4200101		1	21261	2001001;2001002;2001002;2001002		"{""2001001"": 1, ""2001002"": 2}"	42001	102001	20010	2001001	1	1	142	105	1436	119	1.5	0.05	0.1	0	0	5	10	30	1	100	2	2	0	2	225;219;237	0		effective_range_20010	20010	False	True	False	True	{}	{}	{}		7
20020	20020	マーチ	MARCH	5	マーチという名の幻像	マーチという名の戦士	20020	20020						20020	200200101;200200201;200200301;200201301;4200201	200200101;200200201;200200301;200201301	4200201		1	21351	2002001;2002002;2002002;2002002	2002003	"{""2002001"": 1, ""2002002"": 2}"	42002	102002	20020	2002001	2	1	131	102	1526	114	1.5	0.02	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_20020	20020	True	True	False	True	{}	{}	{}		7
20030	20030	アリア	???	4	アリアという名の幻像	アリアという名の戦士	20030	20030						20030	200300101;200300201;200300301;200301301;4200301	200300101;200300201;200300301;200301301	4200301		1	21441			{}	42003	102003	20030	2003001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20040	20040	フーガ	FUGUE	4	フーガという名の幻像	フーガという名の戦士	20040	20040						20040	200400101;200400201;200400301;200401301;4200401	200400101;200400201;200400301;200401301	4200401		1	21141	2004001;2004002;2004002;2004002	2004003	"{""2004001"": 1, ""2004002"": 2}"	42004	102004	20040	2004001	2	1	151	89	1405	112	1.5	0.02	0	0	0	5	10	30	1	100	2	2	0	2	225;237;219	0		effective_range_20040	20040	True	True	False	True	{}	{}	{}		7;2
20050	20050	コンチェルティーノ	???	4	コンチェルティーノという名の幻像	コンチェルティーノという名の戦士	20050	20050						20050	200500101;200500201;200500301;200501301;4200501	200500101;200500201;200500301;200501301	4200501		1	21241			{}	42005	102005	20050	2005001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20060	20060	リピエーノ	???	4	リピエーノという名の幻像	リピエーノ という名の戦士	20060	20060						20060	200600101;200600201;200600301;200601301;4200601	200600101;200600201;200600301;200601301	4200601		1	21341			{}	42006	102006	20060	2006001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20070	20070	アンセム	ANTHEM	6	アンセムという名の幻像	アンセムという名の戦士	20070	20070						20070	200700101;200700201;200700301;200701301;4200701	200700101;200700201;200700301;200701301	4200701		1	21461	2007001;2007002;2007002;2007002	2007003;2007004;2007005	"{""2007001"": 1, ""2007002"": 2}"	42007	102007	20070	2007001	2	1	155	103	1680	112	1.5	0.02	0.1	0	0	5	10	30	1	100	2	2	0	2	207;220;213	0		effective_range_20070	20070	True	True	False	True	{}	{}	{}		5
20080	20080	メロディ	MELODY	6	メロディという名の幻像	メロディという名の戦士	20080	20080						20080	200800101;200800201;200800301;200801301;4200801	200800101;200800201;200800301;200801301	4200801		1	21161	2008001;2008002;2008002;2008002	2008003;2008004;2008005;2008006	"{""2008001"": 1, ""2008002"": 2}"	42008	102008	20080	2008001	2	1	153	102	1738	111	1.5	0.02	0.1	0	0	5	10	30	1	100	2	2	0	2	207;213;220	0		effective_range_20080	20080	True	True	False	True	{}	{}	{}		5
20090	20090	エコー	ECHO	3	エコーという名の幻像	エコーという名の戦士	20090	20090						20090	200900101;200900201;200900301;200901301;4200901	200900101;200900201;200900301;200901301	4200901		1	21201	2009001;2009002;2009002;2009002		"{""2009001"": 1, ""2009002"": 2}"	42009	102009	20090	2009001	2	1	138	106	1594	100	1.5	0.02	0	0	0	5	10	30	1	100	2	2	0	2	207;213;220	0		effective_range_20090	20090	True	True	False	True	{}	{}	{}		5
20100	20100	カノン	???	4	カノンという名の幻像	カノンという名の戦士	20100	20100						20100	201000101;201000201;201000301;201001301;4201001	201000101;201000201;201000301;201001301	4201001		1	21341			{}	42010	102010	20100	2010001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20110	20110	アルペッジョ	ARPEGGIO	6	アルペッジョという名の幻像	アルペッジョという名の戦士	20110	20110						20110	201100101;201100201;201100301;201101301;4201101	201100101;201100201;201100301;201101301	4201101		1	21461	2011001;2011002;2011002;2011002	2011003;2011004;2011006	"{""2011001"": 1, ""2011002"": 2}"	42011	102011	20110	2011001	2	1	155	95	1660	116	1.5	0.05	0.1	0	0	5	10	30	1	100	2	2	0	2	237;219;230	0	7	effective_range_20110	20110	True	True	False	True	{}	{}	{}		7
20120	20120	エレジー	ELEGY	4	エレジーという名の幻像	エレジーという名の戦士	20120	20120						20120	201200101;201200201;201200301;201201301;4201201	201200101;201200201;201200301;201201301	4201201		1	21141	2012001;2012002;2012002;2012002	2012003	"{""2012001"": 1, ""2012002"": 2}"	42012	102012	20120	2012001	2	1	173	91	1400	111	1.5	0.05	0	0	0	5	10	30	1	100	2	2	0	2	224;219;225	0		effective_range_20120	20120	True	True	False	True	{}	{}	{}		2;7
20130	20130	レクイエム	REQUIEM	4	レクイエムという名の幻像	レクイエムという名の戦士	20130	20130						20130	201300101;201300201;201300301;201301301;4201301	201300101;201300201;201300301;201301301	4201301		1	21241			{}	42013	102013	20130	2013001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		7
20140	20140	カプリッチョ	CAPRICCIO	5	カプリッチョという名の幻像	カプリッチョという名の戦士	20140	20140						20140	201400101;201400201;201400301;201401301;4201401	201400101;201400201;201400301;201401301	4201401		1	21351	2014001;2014002;2014002;2014002	2014003	"{""2014001"": 1, ""2014002"": 2}"	42014	102014	20140	2014001	2	1	173	91	1400	113	1.5	0.05	0	0	0	5	10	30	1	100	2	2	0	2	225;237;219	0		effective_range_20140	20140	True	True	False	True	{}	{}	{}		7
20150	20150	ファンタジア	FANTASIA	3	ファンタジアという名の幻像	ファンタジアという名の戦士	20150	20150						20150	201500101;201500201;201500301;201501301;4201501	201500101;201500201;201500301;201501301	4201501		1	21401	2015001;2015002;2015002;2015002		"{""2015001"": 1, ""2015002"": 2}"	42015	102015	20150	2015001	2	1	166	88	1377	110	1.5	0.03	0	0	0	5	10	30	1	100	2	2	0	2	202;224;219	0		effective_range_20150	20150	True	True	False	True	{}	{}	{}		2;8
20160	20160	無し	???	3	無という名の幻像	-2146826273	20160	20160						20160	201600101;201600201;201600301;201601301;4201601	201600101;201600201;201600301;201601301	4201601		1	21101	2016001;2016002;2016002;2016002		"{""2016001"": 1, ""2016002"": 2}"	42016	102016	20160	2016001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20170	20170	ドラム	DRUM	2	ドラムという名の幻像	ドラムという名の戦士	20170	20170						20170	201700101;201700201;201700301;201701301;4201701	201700101;201700201;201700301;201701301	4201701		1	21201			{}	42017	102017	20170	2017001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20180	20180	トッカータ	TOCCATA	4	トッカータという名の幻像	トッカータという名の戦士	20180	20180						20180	201800101;201800201;201800301;201801301;4201801	201800101;201800201;201800301;201801301	4201801		1	21341			{}	42018	102018	20180	2018001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20190	20190	無し	造型英文名称	4	アンデスという名の幻像	アンデスという名の戦士	20190	20190						20190	201900101;201900201;201900301;201901301;4201901	201900101;201900201;201900301;201901301	4201901		1	21441			{}	42019	102019	20190	2019001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20200	20200	無し	造型英文名称	3	アンデスという名の幻像	アンデスという名の戦士	20200	20200						20200	202000101;202000201;202000301;202001301;4202001	202000101;202000201;202000301;202001301	4202001		1	21101			{}	42020	102020	20200	2020001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
20210	20210	レム	???	3	レムという名の幻像	レムという名の戦士	20210	20210						20210	202100101;202100201;202100301;202101301;4202101	202100101;202100201;202100301;202101301	4202101		1	21201			{}	42021	102021	20210	2021001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	2	0	2	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		7
20230	20230	ストラム	STRUM	6	ストラムという名の幻像	ストラムという名の戦士	20230	20230						20230	202300101;202300201;202300301;202301301;4202301	202300101;202300201;202300301;202301301	4202301		1	21261	2023001;2023002;2023002;2023002	2023003;2023004;2023005;2023006	"{""2023001"": 1, ""2023002"": 2}"	42023	102023	20230	2023001	2	1	152	102	1742	111	1.5	0.02	0.1	0	0	5	10	30	1	100	2	2	0	2	207;213;220	0	7	effective_range_20230	20230	True	True	False	True	{}	{}	{}		5;7
20240	20240	イリアン	UILLEAN	6	特殊多重計算により,イリアンのデータを基に生成された幻像	イリアンという名の戦士	20240	20240						20240	202400101;202400201;202400301;202401301;4202401	202400101;202400201;202400301;202401301	4202401		1	21361	2024001;2024002;2024002;2024002	2024003;2024004;2024005	"{""2024001"": 1, ""2024002"": 2}"	42024	102024	20240	2024001	2	1	151	102	1465	117	1.5	0.04	0.1	0	0	5	10	30	1	100	2	2	0	2	225;219;237	0		effective_range_20240	20240	True	True	False	True	{}	{}	{}		7
30010	30010	ディノクロクタ	DINOCROCUTA	5	ディノクロクタという名の幻像	ディノクロクタという名の戦士	30010	30010						30010	300100101;300100201;300100301;300101301;4300101;300100401	300100101;300100201;300100301;300101301	4300101	300100401	1	31451	3001001;3001002;3001002;3001002		"{""3001001"": 1, ""3001002"": 2}"	43001	103001	30010	3001001	1	1	199	93	1318	109	1.5	0.1	0	0	0	5	10	30	1	100	2	3	0	3	202;223;217	0		effective_range_30010	30010	False	True	False	True	{}	{}	{}		2
30011	30011	ディノクロクタ変身形態	???	5	スミロドン変身形態という名の幻像	ディノクロクタ変身形態という名の戦士	30010	30011						30011	300110101;300110201;300110301;300111301;4300101	300110101;300110201;300110301;300111301	4300101		1	31151			{}			30011	3001101	1	1	199	93	1318	109	1.5	0.1	0	0	0	5	10	30	1	100	2	3	0	3	202;223;217	0		effective_range_30011	30010	False	True	False	False	{}	{}	{}		2
30020	30020	ロコタン	LOKOTUNJAILURUS	3	ロコタンという名の幻像	ロコタンという名の戦士	30020	30020						30020	300200101;300200201;300200301;300201301;4300201	300200101;300200201;300200301;300201301	4300201		1	31201	3002001;3002002;3002002;3002002	3002003	"{""3002001"": 1, ""3002002"": 2}"	43002	103002	30020	3002001	1	1	176	88	1295	105	1.5	0.08	0	0	0	5	10	30	1	100	2	3	0	3	250;202;217	0		effective_range_30020	30020	True	True	False	True	{}	{}	{}		2
30030	30030	ライメイ	???	4	ライメイという名の幻像	ライメイという名の戦士	30030	30030						30030	300300101;300300201;300300301;300301301;4300301	300300101;300300201;300300301;300301301	4300301		1	31341			{}	43003	103003	30030	3003001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	3	0	3	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
30040	30040	カニス	KENAI	4	アステロキシロンという名の幻像	アステルキシロンという名の戦士	30040	30040						30040	300400101;300400201;300400301;300401301;4300401	300400101;300400201;300400301;300401301	4300401		1	31441			{}	43004	103004	30040	3004001	1	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	3	0	3	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		2;7
30050	30050	アケロン	ACHERON	6	アケロンという名の幻像	アケロンという名の戦士	30050	30050						30050	300500101;300500201;300500301;300501301;4300501	300500101;300500201;300500301;300501301	4300501		1	31161	3005001;3005002;3005002;3005002	3005003;3005004;3005005	"{""3005001"": 1, ""3005002"": 2}"	43005	103005	30050	3005001	1	1	184	92	1436	107	1.5	0.1	0.1	0	0	5	10	30	1	100	2	3	0	3	223;217;202	0		effective_range_30050	30050	True	True	False	True	{}	{}	{}		2
30060	30060	ティタノボア	???	4	ティタノボアという名の幻像	ティタノボアという名の戦士	30060	30060						30060	300600101;300600201;300600301;300601301;4300601	300600101;300600201;300600301;300601301	4300601		1	31241			{}	43006	103006	30060	3006001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	3	0	3	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
30070	30070	オウル	???	4	オウルという名の幻像	オウルという名の戦士	30070	30070						30070	300700101;300700201;300700301;300701301;4300701	300700101;300700201;300700301;300701301	4300701		1	31341			{}	43007	103007	30070	3007001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	3	0	3	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
30080	30080	タルボット	TALBOT	4	タルボットという名の幻像	タルボットという名の戦士	30080	30080						30080	300800101;300800201;300800301;300801301;4300801	300800101;300800201;300800301;300801301	4300801		1	31441	3008001;3008002;3008002;3008002	3008003	"{""3008001"": 1, ""3008002"": 2}"	43008	103008	30080	3008001	2	1	178	86	1254	109	1.5	0.06	0	0	0	5	10	30	1	100	2	3	0	3	224;217;202	0		effective_range_30080	30080	True	True	False	True	{}	{}	{}		2
