id,name,icon_bg_type,icon,"desc"
1100070115,アンチエネルギー,5,1100070115,"現在耐久値が60%より低い時,自身にEN障壁を<color=#FFC432>3</color>スタック付与,スキルCD2ターン"
1100070114,背水の一戦,5,1100070114,"自身の耐久値が<color=#FFC432>10%</color>減少する毎に,攻撃力+4%"
1100070113,全力反撃,5,1100070113,"現在耐久値が<color=#FFC432>60%</color>より低い時,且つ攻撃を受けた時,通常攻撃で反撃,更に自身の行動順を20%早める"
1100070112,傷口を裂く,5,1100070112,"攻撃時,50%の確率で対象に裂傷を付与,更に裂傷が付与されている対象への与ダメージ<color=#FFC432>+50%</color>"
1100070111,会心率軽減,5,1100070111,"自身が会心ダメージを受けた時,60%の確率で被ダメージ<color=#FFC432>-30%</color>,2ターン継続"
1100070105,究極スキル脆弱,6,1005,"究極スキルの被ダメージ<color=#FFC432>+30%</color>"
1100070104,究極スキル脆弱,6,1004,究極スキルの被ダメージ<color=#FFC432>+25%</color>
1100070103,究極スキル脆弱,6,1003,究極スキルの被ダメージ<color=#FFC432>+20%</color>
1100070102,究極スキル脆弱,6,1002,"究極スキルの被ダメージ<color=#FFC432>+15%</color>"
1100070101,究極スキル脆弱,6,1001,"究極スキルの被ダメージ<color=#FFC432>+10%</color>"
1100070057,ボス無限血35操作,6,913500101,"ボス無限耐久値 35操作"
1100070053,ラピッドハント,6,4400101,"対象を戦闘不能にした時,行動順を60%早める,攻撃力+20%"
1100070052,タクティカルアクセル,6,4400101,"攻撃後,味方の行動順を20%早める"
984210801,クルエルチェイス,5,984210801,"行動後,[ロアリングライオン]で追撃を行う.敵にダメージを与えた時,80%の確率で対象に<skillEff=裂傷>を付与"
984210701,戦意高揚,5,984210701,"行動後,50%の確率で自身の与ダメージ<color=#FFC432>+20%</color>,2ターン継続"
984210602,キングスプレゼンス,5,984210601,"攻撃時,防御力の差<color=#FFC432>1</color>毎に攻撃力+10"
984210601,キングスプレゼンス,5,984210601,"攻撃時,防御力の差<color=#FFC432>1</color>毎に攻撃力+10"
984210501,ハリケーンブレイク,6,984210501,"敵全体に攻撃力の<color=#FFC432>30%</color>の<color=#FF6719>物理ダメージ</color>を8回与え,対象の全ての<skillEff=裂傷>を誘爆する"
984210401,ライオンハート,6,984210401,"自身に<color=#33CCFF>ライオンハート</color>を付与し,機動力+50,効果命中+50%,攻撃-20%,被ダメージ+20%,3ターン継続"
984210301,フラッシュチャージ,6,984210301,"縦一列の敵に攻撃力の<color=#FFC432>60%</color>の<color=#FF6719>物理ダメージ</color>を4回与える"
984210201,サンダーラッシュ,6,984210201,敵対象に攻撃力の<color=#FFC432>75%</color>の<color=#FF6719>物理ダメージ</color>を2回与える
984210101,ロアリングライオン,6,984210101,"敵対象に攻撃力の<color=#FFC432>50%</color>の<color=#FF6719>物理ダメージ</color>を2回与える.攻撃後,対象の防御力-15%,2ターン継続"
984200801,獲物マーク,5,984200801,"攻撃時に毎回対象に<color=#FFC432>1</color>スタックの<color=#FF3300>危機</color>を付与,解除不可.<color=#FF3300>危機</color>:1スタック毎にレオが[獅王降臨]を使用する時,攻撃力+300"
984200701,傷口裂き,5,984200701,"攻撃後,50%の確率で対象が受けるダメージ<color=#FFC432>+20%</color>,2ターン継続"
984200601,身を蝕む毒,5,984200601,"自身に<color=#FFC432>1</color>つの不利効果が付与される毎に,被ダメージ+5%,与ダメージ-2%"
984200501,獅子王降臨,6,984200501,"敵全体に攻撃力の<color=#FFC432>60%</color>の<color=#FF6719>物理ダメージ</color>を4回与え,対象の<color=#FF3300>危機</color>のスタック数を全て消費して追加ダメージを与える"
984200401,ブレイヴハート,6,984200401,"自身に<color=#33CCFF>ブレイヴハート</color>を付与,3ターン継続,解除不可.<color=#33CCFF>ブレイヴハート</color>:攻撃力+15%,被ダメージ-30%,効果抵抗-30%,機動力-50"
984200301,剣尾連撃,6,984200301,"横一列の敵に攻撃力の<color=#FFC432>60%</color>の<color=#FF6719>物理ダメージ</color>を4回与える.攻撃後,60%の確率で対象に<skillEff=沈黙>を付与,1ターン継続"
984200201,デュアルフラッシュ,6,984200201,"敵対象に攻撃力の<color=#FFC432>75%</color>の<color=#FF6719>物理ダメージ</color>を2回与える"
984200101,レイジングブレード,6,984200101,"敵対象に攻撃力の<color=#FFC432>50%</color>の<color=#FF6719>物理ダメージ</color>を2回与える"
984110801,ソフトニングアーマー,5,984110801,"自身のNPが<color=#FFC432>80</color>以上の時,被ダメージ-30%.行動終了後,継続ダメージ+20%,最多10スタック"
984110701,オートリフォース,5,984110701,"敵が<color=#FFC432>10</color>個の<skillEff=強化効果>buffを獲得する毎に,自身は1回[ネクターブレッシング]を使用する"
984110601,チャージドシェルβ,5,984110601,"<color=#FF6719>物理ダメージ</color>を受けた時,自身に30%の確率で<color=#33CCFF>チャージドシェル</color>を1スタック付与,最多20スタック.操作回数が<color=#FFC432>偶数</color>になった時,80%の確率で自身の行動順を10%早める.<color=#33CCFF>チャージドシェル</color>:1スタック毎に,攻撃力+2%,機動力+3"
984110501,アビススピン,6,984110501,"敵全体に攻撃力の<color=#FFC432>50%</color>の<color=#FF6719>物理ダメージ</color>を6回与える"
984110401,クローリッパー,6,984110401,"敵全体に攻撃力の<color=#FFC432>60%</color>の<color=#FF6719>物理ダメージ</color>を4回与える"
984110301,ネクターブレッシング,6,984110301,"自身の攻撃力と与ダメージ<color=#FFC432>+5%</color>,最多10スタック,解除不可.自身の行動を30%早める"
984110201,クラッシュパルス,6,984110201,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を2回与える"
984110101,デストラクロー,6,984110101,敵対象に攻撃力の<color=#FFC432>150%</color>の<color=#FF6719>物理ダメージ</color>を1回与える
984100801,リサイクルリンク,5,984100801,"狂乱槍武者が<skillEff=戦闘不能>になった後,攻撃側の行動後に攻撃力<color=#FFC432>+15%</color>,最多10スタック.キャンサー-タイタンが[カラミティレイン]を使用する時,狂乱槍武者が[スローファイア]を使用して協力攻撃を行う"
984100701,コーディネイトガード,5,984100701,"場にいる狂乱槍武者の数が<color=#FFC432>3</color>体未満の時,狂乱槍武者を<color=#FFC432>3</color>体まで召喚.究極スキルダメージを受けた時,50%の確率で攻撃側のNPを<color=#FFC432>-10</color>.敵ターン開始時,90%の確率で[エナジースプラッシュ]を使用して攻撃"
984100601,チャージドシェルα,5,984100601,"<color=#6666FF>ENダメージ</color>を受けた時,自身に30%の確率で<color=#33CCFF>チャージドシェル</color>を1スタック付与,最多20スタック.操作回数が<color=#FFC432>奇数</color>になった時,80%の確率で自身の行動順を10%早める.<color=#33CCFF>チャージドシェル</color>:1スタック毎に,攻撃力+2%,機動力+3"
984100501,カラミティレイン,6,984100501,"敵全体に攻撃力の<color=#FFC432>50%</color>の<color=#6666FF>ENダメージ</color>を6回与える"
984100401,コンプレッションウェイブ,6,984100401,"敵全体に攻撃力の<color=#FFC432>60%</color>の<color=#6666FF>ENダメージ</color>を4回与える.更に,味方全体の与ダメージ+30%,2ターン継続"
984100301,ガーディアンコール,6,984100301,"場にいる狂乱槍武者の数が<color=#FFC432>3</color>未満の時,狂乱槍武者を<color=#FFC432>3</color>体まで召喚"
984100201,ハリケーンスラッシュ,6,984100201,"敵全体に攻撃力の<color=#FFC432>75%</color>の<color=#6666FF>ENダメージ</color>を2回与える.攻撃後,80%の確率で対象の機動力-30,2ターン継続"
984100101,エナジースプラッシュ,6,984100101,"敵対象に攻撃力の<color=#FFC432>150%</color>の<color=#6666FF>ENダメージ</color>を1回与え,攻撃後,50%の確率で対象に<skillEff=裂傷>を付与,2ターン継続"
984020801,強化追加,5,984020801,"敵対象にダメージを与えた時,自身にランダムで1つの<skillEff=強化効果>を付与,5ターン継続(攻撃力+15%,防御力+20%,機動力+20%)"
984020701,防御モード,5,984020701,"自身の耐久値が<color=#FFC432>50%</color>より高い時,被ダメージ<color=#FFC432>-15%</color>,且つ[チャージアッパー]と[スターフォール]のみで攻撃する"
984020601,殲滅モード,5,984020601,"自身の耐久値が<color=#FFC432>50%</color>より低い時,[チャージアッパー]と[スイーパービーム]のみを使用する.攻撃を受けた後,自身の行動順を<color=#FFC432>25%</color>早める"
984020501,フルパワーモード,5,984020501,"自身の耐久値が<color=#FFC432>30%</color>より低い時,[終末の光]のみで攻撃する.攻撃を受けた後,自身の行動順を<color=#FFC432>25%</color>早める"
984020401,終末の光,6,984020401,"敵全体に攻撃力の<color=#FFC432>60%</color>の<color=#FF6719>物理ダメージ</color>を4回与える"
984020301,スイーパービーム,6,984020301,"敵全体に攻撃力の<color=#FFC432>90%</color>の<color=#FF6719>物理ダメージ</color>を2回与える.攻撃後,自身のすべての<skillEff=不利効果>を解除し,すべての<skillEff=不利効果>を無効化,3ターン継続"
984020201,スターフォール,6,984020201,"横一列の敵に攻撃力の<color=#FFC432>150%</color>の<color=#FF6719>物理ダメージ</color>を1回与える.行動開始時に防御力<color=#FFC432>+10%</color>,最多5スタック"
984020101,チャージアッパー,6,984020101,"敵対象に攻撃力の<color=#FFC432>150%</color>の<color=#FF6719>物理ダメージ</color>を1回与える.自身の耐久値が<color=#FFC432>50%</color>より少ない時,対象の行動順を<color=#FFC432>15%</color>遅らせる"
984010801,弱体追加,5,984010801,"敵対象にダメージを与えた時,ランダムで1つの<skillEff=不利効果>を付与,5ターン継続(攻撃力-15%,耐久回復-30%,防御力-20%,与ダメージ-20%)"
984010701,侵攻態勢,5,984010701,"自身の現在耐久値が<color=#FFC432>50%</color>より高い時,自身の与ダメージ<color=#FFC432>+15%</color>,[ピアシングスラスト]と[レイディアントスラッシュ]のみで攻撃する"
984010601,剣舞態勢,5,984010601,"自身の現在耐久値が<color=#FFC432>50%</color>より低い時,[ピアシングスラスト]と[ツインブレードダンス]のみで攻撃する.攻撃を受けた後,自身の行動順を<color=#FFC432>25%</color>早める"
984010501,フルパワーモード,5,984010501,"自身の現在耐久値が<color=#FFC432>30%</color>より低い時,[スターフォールスラッシュ]のみで攻撃する.攻撃を受けた後,自身の行動順を<color=#FFC432>25%</color>早める"
984010401,スターフォールスラッシュ,6,984010401,"敵全体に攻撃力の<color=#FFC432>60%</color>の<color=#FF6719>物理ダメージ</color>を4回与える"
984010301,ツインブレードダンス,6,984010301,"敵全体に攻撃力の<color=#FFC432>90%</color>の<color=#FF6719>物理ダメージ</color>を2回与える.ダメージを与えた後,敵全体の<skillEff=強化効果>を解除し,<skillEff=強化効果>を付与されなくなる,3ターン継続"
984010201,レイディアントスラッシュ,6,984010201,"横一列の敵に攻撃力の<color=#FFC432>150%</color>の<color=#FF6719>物理ダメージ</color>を1回与える.行動開始時に攻撃力<color=#FFC432>+10%</color>,最多5スタック"
984010101,ピアシングスラスト,6,984010101,"敵対象に攻撃力の<color=#FFC432>150%</color>の<color=#FF6719>物理ダメージ</color>を1回与える.自身の耐久値が<color=#FFC432>50%</color>より低い時,与ダメージ<color=#FFC432>+100%</color>"
984000801,万全態勢,5,984000801,"行動終了時,自身に付与されている<skillEff=強化効果>が<color=#FFC432>5</color>つより少ない時,自身にランダムな<skillEff=強化効果>を付与(攻撃力+20%,防御力+20%,会心率+20%,効果命中+20%,効果抵抗+20%,与ダメージ+20%)"
984000701,チャージ変換,5,984000701,"行動開始後,自身に付与されている<skillEff=強化効果>が<color=#FFC432>3</color>つより多い時,自身に付与されている<skillEff=強化効果>を<color=#FFC432>3</color>つ消費し,敵全体に[シールドインパクトキャノン]を発動"
984000601,メンテナンススキャン,5,984000601,"行動開始後,自身に付与されている<skillEff=不利効果>が<color=#FFC432>3</color>つより多い時,自身に[双子の祝福]を発動,自身の攻撃力-30%,3ターン継続"
984000501,セクターイジェクト,6,984000501,"敵全体に攻撃力の<color=#FFC432>60%</color>の<color=#FF6719>物理ダメージ</color>を2回与え,攻撃力の<color=#FFC432>60%</color>の<color=#6666FF>ENダメージ</color>を2回与える"
984000401,シールドインパクトキャノン,6,984000401,"敵全体に攻撃力の<color=#FFC432>90%</color>の<color=#FF6719>物理ダメージ</color>を1回与え,攻撃力の<color=#FFC432>90%</color>の<color=#6666FF>ENダメージ</color>を1回与える.攻撃後,敵全体の<skillEff=強化効果>を解除し,<skillEff=強化効果>が付与されなくなる,3ターン継続"
984000301,双子の祝福,6,984000301,"自身のすべての<skillEff=不利効果>を解除し,すべての<skillEff=不利効果>を無効化,3ターン継続"
984000201,デストロイスラッシュ,6,984000201,"横一列の敵に攻撃力の<color=#FFC432>150%</color>の<color=#FF6719>物理ダメージ</color>を1回与える.行動終了時,<color=#FFC432>50%</color>の確率で自身の行動順を<color=#FFC432>50%</color>早める"
984000101,グレートソードインパクト,6,984000101,敵対象に攻撃力の<color=#FFC432>150%</color>の<color=#FF6719>物理ダメージ</color>を1回与える
983630401,会心増幅,6,980100901,"自身ターン開始時,攻撃力<color=#FFC432>+20%</color>,1ターン継続.次に自身のターン終了時,追加で[パーティクルバースト]を1回使用し,攻撃力の<color=#FFC432>80%</color>の<color=#6666FF>ENダメージ</color>を3回与える.敵が<skillEff=追加攻撃>を1回行う毎に,味方全体の与ダメージ<color=#FFC432>+3%</color>,最大20スタック,解除不可,戦闘不能時にスタック数リセット"
983630301,エナジーアロー,6,983630301,"敵対象に攻撃力の<color=#FFC432>180%</color>の<color=#6666FF>ENダメージ</color>を1回与える"
983630201,アームドチャージ,5,983630201,"自身の与ダメージ<color=#FFC432>+20%</color>,1ターン継続.自身のターン終了時に追加で[会心増幅]を1回使用,自身の次のターンは必ず会心発生.自身が存在する時,味方全体は<skillEff=妨害効果>と継続ダメージ効果を無効化"
983630101,ハイボルテージビームキャノン,6,983630101,"縦一列の敵に攻撃力の<color=#FFC432>100%</color>の<color=#6666FF>ENダメージ</color>を1回与える"
983620301,サポートコア,5,983620301,"自身のターン終了時,味方全体にランダムな強化効果を付与(攻撃力+20%,防御力+20%,会心率+20%,与ダメージ+20%),2ターン継続"
983620201,エナジーバラージ,6,983620201,敵全体に攻撃力の<color=#FFC432>50%</color>の<color=#6666FF>ENダメージ</color>を3回与える
983620101,ブレードウィングラッシュ,6,983620101,敵全体に攻撃力の<color=#FFC432>100%</color>の<color=#6666FF>ENダメージ</color>を1回与える
983610501,双子の祝福,5,983610501,"敵全体に攻撃力の<color=#FFC432>50%</color>の<color=#6666FF>ENダメージ</color>を3回与える"
983610401,None,6,980100901,"横一列の敵に攻撃力の<color=#FFC432>75%</color>の<color=#6666FF>ENダメージ</color>を2回与える"
983610301,クロススイープ,6,983610301,"横一列の敵に攻撃力の<color=#FFC432>75%</color>の<color=#6666FF>ENダメージ</color>を2回与える"
983610201,アームドチャージ,5,983610201,"自身ターン開始時,攻撃力<color=#FFC432>+20%</color>,1ターン継続.次に自身のターン終了時,追加で[パーティクルバースト]を1回使用し,攻撃力の<color=#FFC432>80%</color>の<color=#6666FF>ENダメージ</color>を3回与える.敵が<skillEff=追加攻撃>を1回行う毎に,味方全体の与ダメージ<color=#FFC432>+3%</color>,最大20スタック,解除不可,戦闘不能時にスタック数リセット"
983610101,パルスライトバレット,6,983610101,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#6666FF>ENダメージ</color>を1回与える"
983600601,コネクトシステム,5,983600601,"フィールド上に自律末端が1体存在するごとに,自身が究極スキル以外のダメージを<color=#FFC432>-20%</color>.8ターンごとに1回[オートクレンザー]を使用"
983600501,アトラクターパルス,6,983600501,"敵全体に攻撃力の<color=#FFC432>30%</color>の<color=#6666FF>ENダメージ</color>を5回与え,全ての自律末端を<skillEff=戦闘不能>にし,攻撃後,敵に自身の現在耐久値の30%分の<skillEff=固定ダメージ>を与える"
983600401,フォトンディフューザー,6,983600401,"敵全体に攻撃力の<color=#FFC432>150%</color>の<color=#6666FF>ENダメージ</color>を1回与える"
983600301,オートクレンザー,5,983600301,"味方全体の<skillEff=不利効果>を<color=#FFC432>5</color>個解除"
983600201,アウェイクプロトコル,5,983600201,"自身の行動後かつフィールド上の自律末端が<color=#FFC432>3</color>体未満の場合,不足分の自律末端を召喚してフィールドに配置"
983600101,オーダーインジェクト,5,983600101,"味方全体の与ダメージ<color=#FFC432>+30%</color>,2ターン継続"
980101801,総隊長強化,5,9801018,"戦闘開始時,総隊長の攻撃力+100%,会心ダメージ+100%,与ダメージ+50%,被ダメージ-50%"
980101701,砕星強化,5,9801017,"戦闘開始時,砕星隊員の攻撃力+[<color=#FFC432>10%</color>×<color=#FFC432>砕星隊員数</color>],会心ダメージ+[<color=#FFC432>10%</color>×<color=#FFC432>砕星隊員数</color>].範囲究極スキルでダメージを与えた後,砕星隊員が60%の確率で与ダメージ+[<color=#FFC432>2%</color>×<color=#FFC432>砕星隊員数</color>]"
980101601,滅刃強化,5,9801016,"戦闘開始時,滅刃隊員の攻撃力+[<color=#FFC432>8%</color>×<color=#FFC432>滅刃隊員数</color>],会心時に滅刃隊員がXX%の確率で会心ダメージ+[<color=#FFC432>8%</color>×<color=#FFC432>滅刃隊員数</color>]"
980101501,擬虫強化,5,9801015,"戦闘開始時,擬虫隊員の与ダメージ+[<color=#FFC432>5%</color>×<color=#FFC432>擬虫隊員数</color>].擬虫隊員が究極スキルを使用した後,<color=#FFC432>40%</color>の確率で攻撃力+[<color=#FFC432>50</color>×<color=#FFC432>擬虫隊員数</color>]"
980101401,気象強化,5,9801014,"戦闘開始時,気象隊員[機動力<color=#FFC432>+20</color>×<color=#FFC432>気象隊員数</color>].攻撃前に敵の行動順を40%遅らせる.究極スキル使用後,対象が行動順の最後にいる場合,対象がその究極スキルのダメージを[双方の機動力差÷<color=#FFC432>120</color>]多く受ける"
980101301,不朽強化,5,9801013,"不朽隊員攻撃時,[<color=#FFC432>10%</color>×<color=#FFC432>不朽隊員数</color>の防御力]を無視.不朽隊員が究極スキルを使用した後,XX%の確率で攻撃力+30%,会心ダメージ+50%,3ターン継続"
980101201,楽団強化,5,9801012,"戦闘開始時,全体隊員の攻撃力+[<color=#FFC432>20%</color>×<color=#FFC432>楽団隊員数</color>],会心ダメージ+[<color=#FFC432>50%</color>×<color=#FFC432>楽団隊員数</color>],楽団隊員行動後に[<color=#FFC432>5</color>×<color=#FFC432>楽団隊員数</color>]のNPを回復"
980101101,山脈強化,5,9801011,"戦闘開始時,山脈隊員の防御力<color=#FFC432>+30%</color>×<color=#FFC432>山脈隊員数</color>.攻撃時,毎回自身の防御力×<color=#FFC432>山脈隊員数</color>÷<color=#FFC432>1750</color>の固定ダメージを追加"
980101001,ツインブラスターキャノン,5,980100901,"敵全体に攻撃力の60%のENダメージを2回与え,強化効果を2つ解除"
980100901,威迫,5,980100901,"自身免疫<skillEff=気絶>,攻撃を受けた後,<color=#FFC432>50%</color>の<skillEff=基礎確率>で攻撃者の攻撃力-30%の<color=#FFC432>弱体効果</color>を付与,1ターン継続"
980100801,超駆動,5,980100801,"自身の現在耐久値が30%より低い時,1度だけ自身の攻撃力<color=#FFC432>+20%</color>,防御力<color=#FFC432>+50%</color>,機動力<color=#FFC432>-30</color>"
980100701,感知,5,980100701,"敵対象に<color=#FFC432>強化効果</color>を付与された時,自身に<color=#FFC432>ロックオン</color>を1スタック付与.ロックオンが10スタックを超えた時,すべての<color=#FFC432>ロックオン</color>を消費し,[ツインブラスターキャノン]を発動する"
980100601,始動,5,980100601,"戦闘開始時,自身に<color=#FFC432>ヒートアップ</color>を15スタック付与,解除不可.自身のターン終了時または究極スキル/ODスキルのダメージを受けた時,<color=#FFC432>ヒートアップ</color>を1スタック失う.<color=#FFC432>ヒートアップ</color>:1スタック毎に,機動力-6,防御力+50,攻撃力-600"
980100501,ハイパーグラビトンキャノン,6,980100501,"敵全体に攻撃力の<color=#FFC432>200%</color>の<color=#6666FF>ENダメージ</color>を1回与える.攻撃後,20%の<skillEff=基礎確率>で対象の被ダメージ+20%,2ターン継続.さらに30%の<skillEff=基礎確率>で対象に<skillEff=麻痺>を付与,2ターン継続"
980100401,アルティメットインパクト,6,980100401,"敵全体に攻撃力の<color=#FFC432>180%</color>の<color=#6666FF>ENダメージ</color>を1回与える.攻撃時,且つ対象の耐久値が30%より低い時,追加で自身の会心ダメージ<color=#FFC432>+50%</color>"
980100301,サンダーウェーブ,6,980100301,"敵全体に攻撃力の<color=#FFC432>50%</color>の<color=#6666FF>ENダメージ</color>を3回与える"
980100201,ツインブラスターキャノン,6,980100201,"敵全体に攻撃力の<color=#FFC432>60%</color>の<color=#6666FF>ENダメージ</color>を2回与える"
980100101,フォトンミサイル,6,980100101,"1回ランダムに敵対象を選択し,攻撃力の<color=#FFC432>40%</color>の<color=#6666FF>ENダメージ</color>を6回与える"
951900301,ダークスカイフォール,2,9038003,"横一列の敵に攻撃力の180%の[物理ダメージ]を1回与える.30%の確率で対象に(気絶)を付与"
951900201,スターイクリプス,2,9038002,"敵対象に攻撃力の<color=#FFC432>200%</color>の<color=#6666FF>ENダメージ</color>を1回与える.攻撃後,<color=#FFC432>70%</color>の確率で対象の<skillEff=強化効果>を2つ解除"
951900101,ダークサン,4,9038001,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を1回与える"
951800301,ホワイトナイトフラッシュ,6,9037003,"縦一列の敵に攻撃力の180%の[物理ダメージ]を1回与える.30%の確率で行動順を最後に遅らせる"
951800201,スターライトキャノン,6,9037002,"敵対象に攻撃力の<color=#FFC432>200%</color>の<color=#6666FF>ENダメージ</color>を1回与える.攻撃後,対象の機動力<color=#FFC432>-20</color>吸収,2ターン継続"
951800101,シルバームーン,6,9037001,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を1回与える"
951700201,クラッシュハンマー,6,920700102,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を2回与える.攻撃後,100%の<skillEff=基礎確率>で対象に<skillEff=気絶>を付与,1ターン継続"
951700101,ウォーリアハンマー,6,920700101,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を1回与える"
951600201,シールドプッシュアタック,6,920600102,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を2回与える.攻撃後,自身に今回の与ダメージの<color=#FFC432>50%</color>分に相当する<skillEff=シールド>を付与,2ターン継続"
951600101,ウォーリアアックス,6,920600101,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を1回与える"
951500201,ダブルスマッシュ,6,920500102,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を2回与える.攻撃後,100%の<skillEff=基礎確率>で対象に<skillEff=裂傷>を付与,2ターン継続"
951500101,ウォーリアブレード,6,920500101,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を1回与える"
951400201,ピアシングランス,6,920400102,"敵対象に攻撃力の<color=#FFC432>200%</color>の<color=#FF6719>物理ダメージ</color>を1回与える.攻撃後,100%の<skillEff=基礎確率>で対象の防御力-20%,2ターン継続"
951400101,ファイターランス,6,920400101,敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を1回与える
951300201,スローバレット,6,920300102,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#6666FF>ENダメージ</color>を2回与える.攻撃後,100%の<skillEff=基礎確率>で対象の機動力<color=#FFC432>-20</color>,2ターン継続"
951300101,ファイターライフル,6,920300101,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#6666FF>ENダメージ</color>を1回与える"
951200201,ダブルスラッシュ,6,920200102,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を2回与える.攻撃後,100%の<skillEff=基礎確率>で対象に<skillEff=裂傷>を付与,2ターン継続"
951200101,ファイターダガー,6,920200101,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を1回与える"
951100201,ヘイトスラッシュ,6,920100102,"敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を2回与える.攻撃後,100%の<skillEff=基礎確率>で対象に<skillEff=挑発力場>を付与,1ターン継続"
951100101,ファイターソード,6,920100101,敵対象に攻撃力の<color=#FFC432>100%</color>の<color=#FF6719>物理ダメージ</color>を1回与える
951000301,アーマードレイン,6,951000301,"縦一列の敵に攻撃力の<color=#FFC432>100%</color>の<color=#6666FF>ENダメージ</color>を1回与える.攻撃後,24%の<skillEff=基礎確率>で対象に<skillEff=氷結>を付与,1ターン継続"
951000201,ウォーリアシールド,6,951000201,"自身に霜雪の守りを付与,2ターン継続.攻撃を受けた時,被ダメージ<color=#FFC432>-10%</color>,かつ10%の確率で攻撃者に<skillEff=氷結>を付与,1ターン継続"
